dong_code,dong_name,sido,sigungu,pop_0_19,pop_20_59,pop_60_plus,worker_count,business_count,population_year,business_year
1120063,사당1동,서울특별시,동작구,1911,16186,5266,9688,1663,2019,2019
1120065,사당3동,서울특별시,동작구,3962,15660,6122,3899,803,2019,2019
1120066,사당4동,서울특별시,동작구,1629,9498,3587,1840,546,2019,2019
1120067,사당5동,서울특별시,동작구,1854,8068,2838,1541,414,2019,2019
1120068,대방동,서울특별시,동작구,7009,25026,7690,11511,1513,2019,2019
1120069,신대방1동,서울특별시,동작구,4358,14394,5142,4113,938,2019,2019
1120070,신대방2동,서울특별시,동작구,3352,12962,4105,18988,1134,2019,2019
1120071,흑석동,서울특별시,동작구,4710,20332,7735,10195,1428,2019,2019
1120072,노량진1동,서울특별시,동작구,4207,20183,7812,8051,1691,2019,2019
1120073,사당2동,서울특별시,동작구,3682,16944,7170,6591,1512,2019,2019
1121052,보라매동,서울특별시,관악구,2977,16077,6093,6422,1232,2019,2019
1121054,청림동,서울특별시,관악구,2721,9718,3705,1303,369,2019,2019
1121057,행운동,서울특별시,관악구,2757,20866,5903,6763,1290,2019,2019
1121058,낙성대동,서울특별시,관악구,1687,12528,2661,7803,1245,2019,2019
1121061,중앙동,서울특별시,관악구,1173,11060,3225,5433,882,2019,2019
1121062,인헌동,서울특별시,관악구,3075,18295,5333,3458,933,2019,2019
1121063,남현동,서울특별시,관악구,2054,12882,3844,4892,807,2019,2019
1121064,서원동,서울특별시,관악구,1723,16905,4566,7352,1172,2019,2019
1121065,신원동,서울특별시,관악구,1621,12545,4344,2297,755,2019,2019
1121066,서림동,서울특별시,관악구,2100,16814,4813,2882,752,2019,2019
1121068,신사동,서울특별시,관악구,2177,16011,4674,4268,1271,2019,2019
1121069,신림동,서울특별시,관악구,941,18015,2689,6599,1648,2019,2019
1121071,난향동,서울특별시,관악구,2883,9546,3846,1785,296,2019,2019
1121072,조원동,서울특별시,관악구,1651,12046,3833,6559,1600,2019,2019
1121073,대학동,서울특별시,관악구,1868,17680,4001,14922,1532,2019,2019
1121078,은천동,서울특별시,관악구,5102,21704,7865,6473,1370,2019,2019
1121079,성현동,서울특별시,관악구,5399,18231,7338,2764,634,2019,2019
1121080,청룡동,서울특별시,관악구,2999,24242,5834,10256,1757,2019,2019
1121081,난곡동,서울특별시,관악구,3579,17459,7308,2192,694,2019,2019
1121082,삼성동,서울특별시,관악구,2793,14367,7881,2370,762,2019,2019
1121083,미성동,서울특별시,관악구,4517,19659,7891,5266,1234,2019,2019
1122051,서초1동,서울특별시,서초구,3601,13509,4248,32003,3791,2019,2019
1122052,서초2동,서울특별시,서초구,3184,12201,3123,52997,5042,2019,2019
